Company,"Primary Industry, Country"
Cameron International Corp.,"Machinery, United States"
Coca-Cola FEMSA SAB de CV,"Beverages, Mexico"
Crown Holdings Inc.,"Fabricated Metal Products, United States"
EOG Resources Inc.,"Petroleum & Coal Products, United States"
Calsonic Kansei Corp.,"Motor Vehicle Parts, Japan"
Veritiv Corp.,"Machinery, United States"
Evraz PLC,"Primary Metals, United Kingdom"
China Steel Corp.,"Primary Metals, Taiwan Province of China"
United Co. Rusal PLC,"Primary Metals, Cyprus"
Anadarko Petroleum Corp.,"Petroleum & Coal Products, United States"
Sumitomo Forestry Co. Ltd.,"Wood Products, Japan"
Origin Energy Ltd.,"Petroleum & Coal Products, Australia"
Jarden Corp.,"Miscellaneous, United States"
Wendel,"Miscellaneous, France"
JSC MMC Norilsk Nickel,"Primary Metals, Russian Federation"
Advanced Semiconductor Engineering Inc.,"Electrical Equipment & Appliances, Taiwan Province of China"
Yamazaki Baking Co. Ltd.,"Food, Japan"
Konica Minolta Inc.,"Computers & Other Electronic Products, Japan"
LS Corp.,"Communications Equipment, Korea"
Hitachi Metals Ltd.,"Fabricated Metal Products, Japan"
Yue Yuen Industrial Holdings Ltd.,"Apparel, Hong Kong Special Administrative Region of China"
Broadcom Corp.*,"Computers & Other Electronic Products, United States"
INPEX Corp.,"Petroleum & Coal Products, Japan"
Arkema SA,"Chemicals, France"
Gansu Jiu Steel Group Hongxing Iron & Steel Co.,"Primary Metals, China"
Nippon Paper Industries Co. Ltd.,"Paper, Japan"
Samsung Heavy Industries Ltd.,"Railcars, Ships, & Other Trans. Equip., Korea"
Lagardere Groupe SCA,"Publishing & Printing, France"
Tenneco Inc.,"Motor Vehicle Parts, United States"
Pilgrim's Pride Corp.,"Food, United States"
Pou Chen Corp.,"Apparel, Taiwan Province of China"
Grupo Mexico SA de CV,"Primary Metals, Mexico"
Angang Steel Co. Ltd.,"Fabricated Metal Products, China"
Thai Oil Public Co. Ltd.,"Petroleum & Coal Products, Thailand"
BRF SA,"Food, Brazil"
Daiichi Sankyo Co. Ltd.,"Pharmaceuticals, Japan"
Dean Foods Co.,"Food, United States"
NSK Ltd.,"Fabricated Metal Products, Japan"
Prysmian SpA,"Fabricated Metal Products, Italy"
Campbell Soup Co.,"Food, United States"
Assa Abloy AB,"Fabricated Metal Products, Sweden"
Mohawk Industries Inc.,"Textiles, United States"
Daelim Industrial Co. Ltd.,"Petroleum & Coal Products, Korea"
BorgWarner Inc.,"Motor Vehicle Parts, United States"
PVH Corp.,"Apparel, United States"
Novolipetsk Steel - NLMK,"Primary Metals, Russian Federation"
Ball Corp.,"Fabricated Metal Products, United States"
Saputo Inc.,"Food, Canada"
Acer Inc.,"Computers & Other Electronic Products, Taiwan Province of China"
Hellenic Petroleum SA,"Petroleum & Coal Products, Greece"
Ternium SA,"Fabricated Metal Products, Luxembourg"
Anhui Conch Cement Co. Ltd.,"Stone, Clay, Glass & Concrete Products, China"
Oneok Inc.,"Petroleum & Coal Products, United States"
Beijing Enterprises Holdings Ltd.,"Beverages, Hong Kong Special Administrative Region of China"
J.M. Smucker Co.,"Food, United States"
Petron Corp.,"Petroleum & Coal Products, Philippines"
Motor Oil (Hellas) SA,"Petroleum & Coal Products, Greece"
China Mengniu Dairy Co. Ltd.,"Food, Hong Kong Special Administrative Region of China"
Steel Dynamics Inc.,"Primary Metals, United States"
Wesco International Inc.,"Electronic/Electric Equip., United States"
